"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Страна;Characteristics:Винтаж;Characteristics:Регион;Characteristics:Состав;Characteristics:Объем;Characteristics:Алк.;Characteristics:PR;Characteristics:Субрегион;Characteristics:WS;Characteristics:Тип;Characteristics:Vinous;Characteristics:JS;Characteristics:RP;"Characteristics:Страна производства";Characteristics:Производитель;Characteristics:Материал;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr";Url
730862314724;Leflaive;;;"Франция;Избранное 2;MarketWinetime;Domanie Leflaive;Выключенные;Бургундия";"Domaine Leflaive Bienvenues Batard-Montrachet Grand Cru 2016, 750 ml";Бургундия;"«Небо очень сбалансированное и гармоничное, красивое и женственное Бьенвеню с красиво поставленной кислотностью и прикосновением апельсиновой корки и белого персика к соленой коже. Я подозреваю, что его будут пить раньше, чем другой Гран Крю Лефлев». <br /> <em>Wine advocate, 2017</em><br />";https://static.tildacdn.com/tild6262-3835-4531-b833-626563616231/Domaine_Leflaive_Bat.jpg;179000.00;;;;;BbOECMbN7oebD62maCNV;;Франция;2016;Бургундия;Шардоне;0,75;13,50%;96;;;Белое;;;;;;;0;0;0;0;;;;;https://winetime.moscow/domaine-leflaive-bienvenues-batard-montrachet-grand-cru-2016
689044201025;"Tua Rita";;;"Италия;Выключенные;Редкие вина";"Tua Rita Redigaffi 1995, 1,5 L";Тоскана;;https://static.tildacdn.com/tild3765-3635-4435-b132-383837623130/Tua_Rita_Redigaffi_1.jpg;179000.00;;;;;mfRV920Y4cG5m1U3egC8;;Италия;1995;Тоскана;Мерло;1,5;13,50%;95;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/tua-rita-redigaffi-1995-15l
576798457354;"Tua Rita";;;"Италия;MarketWinetime;Tua Rita;продано;Редкие вина";"Tua Rita Redigaffi 2001, 1,5 L";Тоскана;"«Редигаффи 2001- экстраординарное вино с огромной интенсивностью ароматов поджаренного кофе вместе с тающим шоколадом, вишневым ликером, инжиром и сливовыми нотами. Глубоко пурпурный, по краям почти черный цвет, с богатыми оттенками дыма и земли, потрясающей вязкостью и пышностью, это изумительный образец мерло с тосканского побережья. Ожидаемая зрелость: по 2018 год».<br /> <em>Wine advocate, 2004 </em><br />";https://static.tildacdn.com/tild6331-3238-4330-a535-653063353861/Tua_Rita_Redigaffi_2.jpg;154000.00;;;;;T5KhsmPcP0lbP6ngN2EL;;Италия;2001;Тоскана;Мерло;1,5;14,50%;96;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/tua-rita-redigaffi-2001-magnum
327968756150;"Tua Rita";;;"Италия;Выключенные;Редкие вина";"Tua Rita Redigaffi 2001, 3L";Тоскана;"«Редигаффи 2001- экстраординарное вино с огромной интенсивностью ароматов поджаренного кофе эспрессо вместе с тающим шоколадом, вишневым ликером, инжиром и сливовыми нотами. Глубоко пурпурный, по краям почти черный цвет, с богатыми оттенками дыма и земли, потрясающей вязкостью и пышностью, это изумительный образец мерло с тосканского побережья. Ожидаемая зрелость: по 2018 год».<br /><em>Wine advocate, 2004</em><br />";https://static.tildacdn.com/tild6264-6466-4165-a637-623237663837/photo_2019-11-18_16-.jpg;349000.00;;;;;XRR9hc7gupZ5tdXA2EiE;;Италия;2001;Тоскана;Мерло;3;14,50%;96;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/tua-rita-redigaffi-2001-double-magnum
975548447203;"Giacomo Conterno";;;"Италия;Barolo;MarketWinetime;Conterno";"Barolo Cascina Francia Giacomo Conterno 2008, 750 ml";Пьемонт;"«2008 Бароло Касцина Франциа обладает великолепным внутренним ароматом, слоями безупречных фруктов и потрясающим общим балансом. Сливы, темные вишни и лакрица сопровождаются более темными нотами графита и смолы, когда вино открывается в бокале. Сегодня 2008 гораздо менее выразителен, чем в те многие разы, когда я пробовал его из бочки. Будет интересно посмотреть, как разовьется 2008, набирает ли он вес или остается среднетелым. Спасибо, Бароло! В любом случае, это потрясающе.<br /> <em>Wine advocate 2012 </em><br />";https://static.tildacdn.com/tild6264-6262-4131-b465-643738393035/Barolo_Cascina_Franc.jpg;62000.00;;;;;o5eoUN6DamYNr5Sk8JIg;;Италия;2008;Пьемонт;Неббиоло;0,75;14,50%;95;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/barolo-cascina-francia-giacomo-conterno-2008
157945910419;Biondi-Santi;;;"Италия;MarketWinetime;Rare Wines;Редкие вина";"Biondi-Santi Brunello di Montalcino Riserva 1957, 700 ml";Тоскана;;"https://static.tildacdn.com/tild3238-6533-4831-a165-366262346335/photo_2019-11-18_16-.jpg https://static.tildacdn.com/tild3238-6533-4831-a165-366262346335/photo_2019-11-18_16-.jpg";168000.00;;;;;ABk2Y5T8EKI5MCoNZBl6;;Италия;1957;Тоскана;Санджовезе;0,7;12,80%;;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/biondi-santi-brunello-di-montalcino-riserva-1957
379152951682;Biondi-Santi;;;"Италия;Biondi Santi;MarketWinetime;Rare Wines;Редкие вина";"Biondi-Santi Brunello di Montalcino Riserva 1982, 750 ml";Тоскана;;https://static.tildacdn.com/tild3239-6330-4230-a533-613238393265/Biondi-Santi_Brunell.jpg;122500.00;;;;;VucVK244UjB1NfHGXMN1;;Италия;1982;Тоскана;Санджовезе;0,75;12,50%;;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/biondi-santi-brunello-di-montalcino-riserva-1982
974263847312;Gaja;;;"Италия;Выключенные";"Gaja Sori Tildin Langhe 2001, 750 ml";Пьемонт;"«Сори Тилдин 2001 - звезда. В нем - типичная «тильдинская» заостренность, оно великолепно выверено. Фрукты сказочно богаты и ярки от начала до конца. Это очень изысканный образец от Анджело Гайя. Вино все еще довольно молодое и, по-видимому, у него прекрасное будущее. Ожидаемая зрелость: 2013-2026 гг.». <br /><em>Wine advocate 2012 </em><br />";https://static.tildacdn.com/tild3662-6666-4766-a565-306532616663/Gaja_Sori_Tildin_Lan.jpg;;;;;;VT0XH1ozmoki2Rzs9ekM;;Италия;2001;Пьемонт;Неббиоло;0,75;14%;96;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sori-tildin-langhe-2001
711486052611;;;;;"Gaja Sori Tildin Langhe 2001, 750 ml / 750ml- 750ml";;;;100100.00;;;Объем:750ml;;VjTA65lf6aUCGTEdBsUR;974263847312;;;;;;;;;;;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sori-tildin-langhe-2001?editionuid=711486052611
605054045921;;;;;"Gaja Sori Tildin Langhe 2001, 750 ml / 1500ml- 1500ml";;;;190000.00;;;Объем:1500ml;;UrLufizB9fTUgDpkkikV;974263847312;;;;;;;;;;;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sori-tildin-langhe-2001?editionuid=605054045921
240301936326;Gaja;;;"Италия;Выключенные";"Gaja Sori Tildin Langhe 2008, 750 ml";Пьемонт;"«Сори Тилдин 2008 впечатляет. Признаюсь, я был не совсем готов к такой атаке фруктов и танинов. Сори Тилдин так часто бывает изящным, элегантным вином, но это не про 2008. Это не значит, что элегантности нет вовсе, но это большое, большое вино значительной интенсивности и насыщенности - и все прекрасно сочетается вместе. Трудно найти сходство с предыдущим винтажом, поскольку это Тилдин - единственное в своем роде. Привкусы знакомы, если коснуться темной стороны, но текстура плотнее, чем у Сори Сан-Лоренцо. Цветы, деготь, кожа и лакрица обволакивают небо. Это сказочное шоу и отличное вино в процессе своего становления. Ожидаемая зрелость: 2018-2033 гг.». <br /> <em>Wine advocate 2011</em> <br />";https://static.tildacdn.com/tild3764-3033-4533-b165-343439386562/Gaja_Sori_Tildin_Lan.jpg;78000.00;;;;;hriv9hU3IOYyMUsd2LcZ;;Италия;2008;Пьемонт;Неббиоло;0,75;14,50%;96;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sori-tildin-langhe-2008
313697875128;Gaja;;;"Италия;Выключенные";"Gaja Sperss Langhe 2004, 750 ml";Пьемонт;"«Гайя Сперсс Ланге 2004 - младенец. Все еще невероятно простой, он источает эссенцию черных фруктов, дыма и смолы. Новый дуб все еще очень заметен, и вино, кажется, находится в не самой изящной фазе своего развития. Тем не менее, оно демонстрирует потрясающую концентрацию, а также длину, с мягкими, ласкающими танинами, которые до самого конца сопровождаются фруктами. Этому вину необходимо взрослеть в бутылке, и оно имеет хорошие шансы заслужить более высокий балл, как только выйдет из своего временного периода покоя. Ожидаемая зрелость: 2014-2029 гг.». <br /> <em>Wine advocate 2007 </em><br />";https://static.tildacdn.com/tild6133-3631-4138-b962-323036656163/Gaja_Sori_Tildin_Lan.jpg;69000.00;;;;;zyXMc22ETA9yrYMlXLTr;;Италия;2004;Пьемонт;Неббиоло;0,75;14%;96;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sperss-langhe-2004
165718179096;Gaja;;;"Италия;Выключенные";"Gaja Sori Tildin Langhe 1999, 3L";"1999, Пьемонт";"«Необыкновенный букет с оттенками мяса на гриле, копченой утки, сои, черной смородины, вишни и трюфелей, - похоже, все говорит в пользу восхитительного аромата этого вина. Очень полнотелое, густое вино с концентрированными оттенками вкуса обволакивает небо; ощущается высокая концентрированность и танинность. Это прекрасное вино, восхитительной интенсивности и четкости с длительным послевкусием, несомненно, кандидат на роль лучшего вина Пьемонта этого урожая. Ожидаемая зрелость 2008-2025 гг.» <br /> Wine advocate <br />";https://static.tildacdn.com/tild3534-3836-4662-b631-313834336663/Gaja-Sori-Tildin-Lan.jpg;388700.00;;;;;ILIBCVSRcsBKDSkt9KjR;;Италия;1999;Пьемонт;Неббиоло;3;13,50%;96;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sori-tildin-langhe-1999-double-magnum
287350497062;Gaja;;;"Италия;MarketWinetime;Gaja;Редкие вина";"Gaja Sori Tildin Langhe 2000, 3L";"2000, Пьемонт";"«Очень богатый, сочный Sori Tildin , темно-рубинового цвета, показывает весьма драгоценный характер этого винтажа, у него почти перезрелые ароматы ежевики, фиников, слив и смородины, с оттенками трюфелей, дыма и земли. Очень плотное, полнотельное вино с хорошим уровнем кислотности, поразительной интенсивностью вкуса и долгим послевкусием с хорошо интегрированными танинами. Это необыкновенно развитое и эффектное вино для молодого Sori Tildin от Гайи. Ожидаемая зрелость: по 2020 гг.» <br /> Wine advocate 2000 <br /><br /> «2000 Sori Tildin как кашемир на небе. Сладкие красные ягоды, цветы, мята и специи легко вытекают из этого красиво детализированного, тонкого вина. Sori Tildin показывает привлекательную свежесть и великолепный баланс от начала до конца. Это одно из самых прекрасных вин этого винтажа. Ожидаемая зрелость: 2015-2030 годы. <br /> Wine advocate 2011 <br /><br />";https://static.tildacdn.com/tild3063-3330-4365-a536-353730306164/Gaja-Sori-Tildin-Lan.jpg;418600.00;;;;;1fApPEhneBtVEguS4B6u;;Италия;2000;Пьемонт;Неббиоло;3;14%;95;;;Красное;;;;;;;0;0;0;0;;;;;https://winetime.moscow/gaja-sori-tildin-langhe-2000-3l
587205174600;"Chateau Angelus";"в наличии";;"Франция;Angelus;MarketWinetime;Бордо";"Chateau Angelus premier grand Cru Classe 2004, 750 ml";"<del></del>Бордо, Сент-Эмильон";"Этот бленд 62% Мерло и 38% Каберне Фран - одно из самых сильных вин своего винтажа. Глубокий сине-фиолетовый цвет сопровождают классические ароматы черники и ежевики, фоном идут сильные цветочные ноты. Это вино прекрасно текстурировано, оно изобильное, яркое и чистое, сногсшибательно глубокое и полнотельное. Еще одна прекрасная, успешная работа Юбера де Буара - владельца Анжелюса. Ожидаемая зрелость: 2009-2022. <br /><br /> <em>Wine Advocate</em> <br /><br /> <em></em> <br />";https://static.tildacdn.com/tild6632-3933-4036-b437-656339333431/Angelus-2004.jpg;99000.00;;;;;IVBE8EtZ9y3drh14GVOv;;Франция;2004;Бордо;"Мерло, Каберне Фран";0,75;13,50%;95;Сент-Эмильон;91;Красное;;;;;;;0;0;0;0;"Chateau Angelus premier grand Cru Classe";"Этот бленд 62% Мерло и 38% Каберне Фран - одно из самых сильных вин своего винтажа. Глубокий сине-фиолетовый цвет сопровождают классические ароматы черники и ежевики, фоном идут сильные цветочные ноты. Это вино прекрасно текстурировано, оно изобильное, яркое и чистое, сногсшибательно глубокое и полнотельное. Еще одна прекрасная, успешная работа Юбера де Буара - владельца Анжелюса. Ожидаемая зрелость: 2009-2022.";;;https://winetime.moscow/chateau-angelus-premier-grand-cru-classe-2004
