brands;name;description;Photo;price;vintage;RP;Url
Leflaive;Domaine Leflaive Bienvenues Batard-Montrachet Grand Cru 2016, 750 ml;«Небо очень сбалансированное и гармоничное, красивое и женственное Бьенвеню с красиво поставленной кислотностью и прикосновением апельсиновой корки и белого персика к соленой коже. Я подозреваю, что его будут пить раньше, чем другой Гран Крю Лефлев». <br /> <em>Wine advocate, 2017</em><br />;https://static.tildacdn.com/tild6262-3835-4531-b833-626563616231/Domaine_Leflaive_Bat.jpg;179000.00;2016;96;https://winetime.moscow/domaine-leflaive-bienvenues-batard-montrachet-grand-cru-2016
Tua Rita;Tua Rita Redigaffi 1995, 1,5 L;;https://static.tildacdn.com/tild3765-3635-4435-b132-383837623130/Tua_Rita_Redigaffi_1.jpg;179000.00;1995;95;https://winetime.moscow/tua-rita-redigaffi-1995-15l
Tua Rita;Tua Rita Redigaffi 2001, 1,5 L;«Редигаффи 2001- экстраординарное вино с огромной интенсивностью ароматов поджаренного кофе вместе с тающим шоколадом, вишневым ликером, инжиром и сливовыми нотами. Глубоко пурпурный, по краям почти черный цвет, с богатыми оттенками дыма и земли, потрясающей вязкостью и пышностью, это изумительный образец мерло с тосканского побережья. Ожидаемая зрелость: по 2018 год».<br /> <em>Wine advocate, 2004 </em><br />;https://static.tildacdn.com/tild6331-3238-4330-a535-653063353861/Tua_Rita_Redigaffi_2.jpg;154000.00;2001;96;https://winetime.moscow/tua-rita-redigaffi-2001-magnum
Tua Rita;Tua Rita Redigaffi 2001, 3L;«Редигаффи 2001- экстраординарное вино с огромной интенсивностью ароматов поджаренного кофе эспрессо вместе с тающим шоколадом, вишневым ликером, инжиром и сливовыми нотами. Глубоко пурпурный, по краям почти черный цвет, с богатыми оттенками дыма и земли, потрясающей вязкостью и пышностью, это изумительный образец мерло с тосканского побережья. Ожидаемая зрелость: по 2018 год».<br /><em>Wine advocate, 2004</em><br />;https://static.tildacdn.com/tild6264-6466-4165-a637-623237663837/photo_2019-11-18_16-.jpg;349000.00;2001;96;https://winetime.moscow/tua-rita-redigaffi-2001-double-magnum
Giacomo Conterno;Barolo Cascina Francia Giacomo Conterno 2008, 750 ml;«2008 Бароло Касцина Франциа обладает великолепным внутренним ароматом, слоями безупречных фруктов и потрясающим общим балансом. Сливы, темные вишни и лакрица сопровождаются более темными нотами графита и смолы, когда вино открывается в бокале. Сегодня 2008 гораздо менее выразителен, чем в те многие разы, когда я пробовал его из бочки. Будет интересно посмотреть, как разовьется 2008, набирает ли он вес или остается среднетелым. Спасибо, Бароло! В любом случае, это потрясающе.<br /> <em>Wine advocate 2012 </em><br />;https://static.tildacdn.com/tild6264-6262-4131-b465-643738393035/Barolo_Cascina_Franc.jpg;62000.00;2008;95;https://winetime.moscow/barolo-cascina-francia-giacomo-conterno-2008
Biondi-Santi;Biondi-Santi Brunello di Montalcino Riserva 1957, 700 ml;;https://static.tildacdn.com/tild3238-6533-4831-a165-366262346335/photo_2019-11-18_16-.jpg https://static.tildacdn.com/tild3238-6533-4831-a165-366262346335/photo_2019-11-18_16-.jpg;168000.00;1957;;https://winetime.moscow/biondi-santi-brunello-di-montalcino-riserva-1957
Biondi-Santi;Biondi-Santi Brunello di Montalcino Riserva 1982, 750 ml;;https://static.tildacdn.com/tild3239-6330-4230-a533-613238393265/Biondi-Santi_Brunell.jpg;122500.00;1982;;https://winetime.moscow/biondi-santi-brunello-di-montalcino-riserva-1982
Gaja;Gaja Sori Tildin Langhe 2001, 750 ml;«Сори Тилдин 2001 - звезда. В нем - типичная «тильдинская» заостренность, оно великолепно выверено. Фрукты сказочно богаты и ярки от начала до конца. Это очень изысканный образец от Анджело Гайя. Вино все еще довольно молодое и, по-видимому, у него прекрасное будущее. Ожидаемая зрелость: 2013-2026 гг.». <br /><em>Wine advocate 2012 </em><br />;https://static.tildacdn.com/tild3662-6666-4766-a565-306532616663/Gaja_Sori_Tildin_Lan.jpg;;2001;96;https://winetime.moscow/gaja-sori-tildin-langhe-2001
Gaja;Gaja Sori Tildin Langhe 2008, 750 ml;«Сори Тилдин 2008 впечатляет. Признаюсь, я был не совсем готов к такой атаке фруктов и танинов. Сори Тилдин так часто бывает изящным, элегантным вином, но это не про 2008. Это не значит, что элегантности нет вовсе, но это большое, большое вино значительной интенсивности и насыщенности - и все прекрасно сочетается вместе. Трудно найти сходство с предыдущим винтажом, поскольку это Тилдин - единственное в своем роде. Привкусы знакомы, если коснуться темной стороны, но текстура плотнее, чем у Сори Сан-Лоренцо. Цветы, деготь, кожа и лакрица обволакивают небо. Это сказочное шоу и отличное вино в процессе своего становления. Ожидаемая зрелость: 2018-2033 гг.». <br /> <em>Wine advocate 2011</em> <br />;https://static.tildacdn.com/tild3764-3033-4533-b165-343439386562/Gaja_Sori_Tildin_Lan.jpg;78000.00;2008;96;https://winetime.moscow/gaja-sori-tildin-langhe-2008
Gaja;Gaja Sperss Langhe 2004, 750 ml;«Гайя Сперсс Ланге 2004 - младенец. Все еще невероятно простой, он источает эссенцию черных фруктов, дыма и смолы. Новый дуб все еще очень заметен, и вино, кажется, находится в не самой изящной фазе своего развития. Тем не менее, оно демонстрирует потрясающую концентрацию, а также длину, с мягкими, ласкающими танинами, которые до самого конца сопровождаются фруктами. Этому вину необходимо взрослеть в бутылке, и оно имеет хорошие шансы заслужить более высокий балл, как только выйдет из своего временного периода покоя. Ожидаемая зрелость: 2014-2029 гг.». <br /> <em>Wine advocate 2007 </em><br />;https://static.tildacdn.com/tild6133-3631-4138-b962-323036656163/Gaja_Sori_Tildin_Lan.jpg;69000.00;2004;96;https://winetime.moscow/gaja-sperss-langhe-2004
Gaja;Gaja Sori Tildin Langhe 1999, 3L;"«Необыкновенный букет с оттенками мяса на гриле, копченой утки, сои, черной смородины, вишни и трюфелей, - похоже, все говорит в пользу восхитительного аромата этого вина. Очень полнотелое, густое вино с концентрированными оттенками вкуса обволакивает небо; ощущается высокая концентрированность и танинность. Это прекрасное вино, восхитительной интенсивности и четкости с длительным послевкусием, несомненно, кандидат на роль лучшего вина Пьемонта этого урожая. Ожидаемая зрелость 2008-2025 гг.» <br /> Wine advocate <br />";https://static.tildacdn.com/tild3534-3836-4662-b631-313834336663/Gaja-Sori-Tildin-Lan.jpg;388700.00;1999;96;https://winetime.moscow/gaja-sori-tildin-langhe-1999-double-magnum
Gaja;Gaja Sori Tildin Langhe 2000, 3L;«Очень богатый, сочный Sori Tildin , темно-рубинового цвета, показывает весьма драгоценный характер этого винтажа, у него почти перезрелые ароматы ежевики, фиников, слив и смородины, с оттенками трюфелей, дыма и земли. Очень плотное, полнотельное вино с хорошим уровнем кислотности, поразительной интенсивностью вкуса и долгим послевкусием с хорошо интегрированными танинами. Это необыкновенно развитое и эффектное вино для молодого Sori Tildin от Гайи. Ожидаемая зрелость: по 2020 гг.» <br /> Wine advocate 2000 <br /><br /> «2000 Sori Tildin как кашемир на небе. Сладкие красные ягоды, цветы, мята и специи легко вытекают из этого красиво детализированного, тонкого вина. Sori Tildin показывает привлекательную свежесть и великолепный баланс от начала до конца. Это одно из самых прекрасных вин этого винтажа. Ожидаемая зрелость: 2015-2030 годы. <br /> Wine advocate 2011 <br /><br />;https://static.tildacdn.com/tild3063-3330-4365-a536-353730306164/Gaja-Sori-Tildin-Lan.jpg;418600.00;2000;95;https://winetime.moscow/gaja-sori-tildin-langhe-2000-3l
Chateau Angelus;Chateau Angelus premier grand Cru Classe 2004, 750 ml;Этот бленд 62% Мерло и 38% Каберне Фран - одно из самых сильных вин своего винтажа. Глубокий сине-фиолетовый цвет сопровождают классические ароматы черники и ежевики, фоном идут сильные цветочные ноты. Это вино прекрасно текстурировано, оно изобильное, яркое и чистое, сногсшибательно глубокое и полнотельное. Еще одна прекрасная, успешная работа Юбера де Буара - владельца Анжелюса. Ожидаемая зрелость: 2009-2022. <br /><br /> <em>Wine Advocate</em> <br /><br /> <em></em> <br />;https://static.tildacdn.com/tild6632-3933-4036-b437-656339333431/Angelus-2004.jpg;99000.00;2004;95;https://winetime.moscow/chateau-angelus-premier-grand-cru-classe-2004
Chateau Beau-Sejour Becot;Chateau Beau-Sejour Becot premier grand Cru Classe 2015, 750 ml;Вино наполнено вкусами спелой, сочной сливы, ежевики и ягод асай. Здесь присутствуют нотки лакрицы и фруктового пирога, великолепно дополненные привкусом яблочной древесины на финише. Лучше всего выпить его в период с 2020 по 2035. <br /><em>Wine Spectator</em> <br /><br />Бо-Сижур Беко 2015 состоит из 80% Мерло, 15%Каберне-фран и 5% Каберне совиньон. Вино выдерживалось во французском дубе (85% - новый, 15% - годовалый) 17 месяцев. Цвет гранатово-фиолетовый средней насыщенности. Букет раскрывается с ежевики, черешни и размятой черной сливы. Слышатся ароматы коробки из-под сеций, лаванды и кедра. Вино от средне- к полнотельному, богатое, бархатистое, крепкое с долгим пряным послевкусием. <br /><em>Wine Advocate</em> <br />;https://static.tildacdn.com/tild6661-6664-4364-b734-333536663035/Beau-Sejour-Becot-20.jpg;18590.00;2015;95;https://winetime.moscow/beau-sejour-becot-2015
Chateau Haut-Brion;Chateau Haut-Brion Premier Cru Classe 2005, 750 ml;"Пробовал в 2012 году на слепой дегустации. У О-Брион 2012 очень открытый и изысканный букет ароматов пастилы и ликера из черной смородины, а также шиповника, что выдает очень чистый мерло. Вино среднетельное с пышным вступлением, что редкость для 2012 года. Оно округлое, густое, гладкое со вкусом черной сливы и черной смородины - ближе к финишу. Послевкусие очень продолжительное - трюфель и белый перец, а через 15 минут можно почувствовать очень пряный привкус бекона или итальянской колбасы. <br /><br /> <a href=""http://robertparker.com/""><em>RobertParker.com</em></a><em>, 2016 (Нил Мартин)</em> <br /><br />";https://static.tildacdn.com/tild3262-6436-4230-a633-326138393037/haut-brion-2005.jpg https://static.tildacdn.com/tild6136-3863-4438-b838-613736393233/haut-brion-2008.jpg https://static.tildacdn.com/tild6335-3135-4331-b861-373566303538/haut-brion-2012.jpg;219000.00;2012;96;https://winetime.moscow/chateau-haut-brion-2005
Chateau Haut-Brion;Chateau Haut-Brion Premier Cru Classe 2012, 750 ml;"Пробовал в 2012 году на слепой дегустации. У О-Брион 2012 очень открытый и изысканный букет ароматов пастилы и ликера из черной смородины, а также шиповника, что выдает очень чистый мерло. Вино среднетельное с пышным вступлением, что редкость для 2012 года. Оно округлое, густое, гладкое со вкусом черной сливы и черной смородины - ближе к финишу. Послевкусие очень продолжительное - трюфель и белый перец, а через 15 минут можно почувствовать очень пряный привкус бекона или итальянской колбасы. <br /><br /> <a href=""http://robertparker.com/""><em>RobertParker.com</em></a><em>, 2016 (Нил Мартин)</em> <br /><br />";https://static.tildacdn.com/tild6335-3135-4331-b861-373566303538/haut-brion-2012.jpg;128700.00;2012;96;https://winetime.moscow/chateau-haut-brion-2012
Chateau Latour;Chateau Latour premier grand Cru Classe 1949, 750 ml;Каждый раз, когда я пробую это вино, оно заигрывает с совершенством. Эта дегустация вновь стала захватывающим опытом. У него впечатляющий букет ароматов трюфеля, черного чая, сои, минералов, сладкого чернослива, кофе и черной смородины. Поначалу сладкое, с чувственной текстурой редкой пышности, полнотельное вино поразительной свежести. Послевкусие плотное, мясистое, сочное. Это вино всегда было прекрасным, и эта бутылка - не исключение. Оно полностью созрело уже 25-30 лет назад, и при правильном хранении точно проживет еще двадцать лет. <br /><br /> <em>Wine Advocate, 2000</em> <br /><br /><br /><br />Латур 1949 года обладает гораздо более выдающимися ароматическими характеристиками, чем его собратья 1945 и 1947. Классическое и элегантное, прекрасно выверенное, величественное вино. Очень в стиле своего региона (Пойяк): нотки черных ягод смешиваются с графитом и кедром, а ароматы третьего ряда едва различимы. Это послевоенный Пойяк в миниатюре. Вино среднетельное, с изящными танинами, великолепной кислотностью. Вкус черных ягод смешивается с графитом и дымом и чем ближе к сногсшибательному финишу, тем сильнее он раскрывается в своей неподражаемой деликатной манере. <br /><br /> <em>Vinous, 2018</em> <br /><br />;https://static.tildacdn.com/tild3065-3030-4366-a262-333736313239/tild6337-6633-4630-b.jpeg;618800.00;1949;98;https://winetime.moscow/latour-1949
Chateau Latour;Chateau Latour premier grand Cru Classe 1995, 750 ml;"У#nbsp;Латура 1995 прекрасный, непрозрачный, густой фиолетовый цвет. У#nbsp;него очень молодой букет ароматов: черносмородиновый ликер, ваниль, минералы. Вино скорее полнотельное, исключительно чистое, превосходно концентрированное с#nbsp;долгим, насыщенным, спелым 40-секундным послевкусием. Великолепный образец Латура! Стоит вину недолго побыть в#nbsp;бокале, у#nbsp;него проявляются нотки жареного кофе и#nbsp;нового дуба. Его можно хранить достаточно долго. Ожидаемая зрелость: 2012−2050.<br /><strong><span style=""font-size: 14px;"" data-redactor-tag=""span""><em>Robert Parker, 2003</em></span></strong>";https://static.tildacdn.com/tild3231-3830-4635-b439-613238613664/latour-1995.jpg;132000.00;1995;96;https://winetime.moscow/chateau-latour-1995
Chateau Latour;Chateau Latour premier grand Cru Classe 1982, 750 ml;1982 был великим винтажем, относительно теплым и плодородным. Он подарил нам вина необыкновенной глубины и яркости. У Латура 1982 гранатово-кирпичный цвет. Мощный букет ароматов аниса, сушеной розы, сандалового дерева и новой кожи. Глубже - ароматы вишневого бренди, ежевичного пирога, шелковицы и черносмородиновой пастилы. Полнотельное, насыщенное и пряное, очень фруктовое и пикантное. Эпически продолжительное послевкусие. <br /><br /><em>Wine advocate, 2019</em> <br /><br /><br />Объемное и мясистое. Полнотельное, с бархатистыми танинами и очень яркими нотами смородины, ягод и вишни. Сложно оценить - у этого вина все еще впереди. <br /><br /><em>Wine Spectator, 2001</em> <br /><br />;https://static.tildacdn.com/tild3336-6337-4139-b137-666133663834/latour-1982-1.jpg;496600.00;1982;100;https://winetime.moscow/chateau-latour-1982
Chateau Latour;Chateau Latour premier grand Cru Classe 1990, 750 ml;Этот Латур очень сложно оценивать. Вино великолепное, очень сладкое и фруктовое, но у него совсем нет устойчивости, характерной для более поздних винтажей - 1996, 2000, 2003, 2005, 2006, 2008. Оно полнотельное, в нем много спелой черной смородины и глицерина, но мне все еще не хватает сложности, которая несомненно еще проявится. Оно все еще кажется слишком цельным для 19-летнего вина. Это не абсолютный чемпион, как мне казалось ранее, но опять же повторюсь - я ничуть не сомневаюсь, что оно станет гораздо более сложным. Ожидаемая зрелость: 2016-2035. <br /><br /> Wine Advocate, 2009 <br /><br />;https://static.tildacdn.com/tild6165-3365-4136-a630-383162343462/latour-1982-2.jpg;247000.00;1990;96;https://winetime.moscow/chateau-latour-1990
Chateau Latour;Chateau Latour premier grand Cru Classe 2002, 750 ml;"Было произведено всего 10 тысяч ящиков этого необыкновенно богатого, густого вина. Оно почти такое#nbsp;же мощное, как и#nbsp;его собрат Латур 2003 года. У#nbsp;него темный рубиново-фиолетовый цвет по#nbsp;краю. Букет ароматов с#nbsp;нотами грецкого ореха, раскрошенного камня, черной смородины и#nbsp;подлеска. Это густое, полнотельное вино#nbsp;— пышное и#nbsp;классическое с#nbsp;впечатляющей ароматикой, чудесной свежестью и#nbsp;плотным послевкусием, длящимся более 50 секунд. Вино очень насыщенное, со#nbsp;сладкими танинами, при этом у#nbsp;него впереди, без сомнения, долгая жизнь. Управляющий Шато Латур Фредерик Анжерер убежден, что это 2002#nbsp;— наиболее удачный из#nbsp;последних винтажей. Снимаю перед ним шляпу за#nbsp;блестяще исполненную работу с#nbsp;этим винтажем, от#nbsp;которого никто не#nbsp;ждал чего-то настолько выдающегося. Ожидаемая зрелость: 2012−2045.<br /><strong><span style=""font-size: 14px;"" data-redactor-tag=""span""><em>Wine Advocate, 2005</em></span></strong><br /><br /><br /><a href=""https://winetime.moscow/wm-latour"" style=""font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; background: transparent; border-bottom: 1px solid rgb(0, 68, 194); font-family: MontSingel, Arial, sans-serif; font-size: 18px; font-weight: 300; box-shadow: rgb(0, 68, 194) 0px -1px 0px 0px inset; color: rgb(0, 68, 194) !important;"">Читать</a> <em>о#nbsp;производителе</em>";https://static.tildacdn.com/tild6365-3464-4436-b462-666466373738/latour-2002.jpg;143520.00;2002;95;https://winetime.moscow/chateau-latour-2002
Chateau Leoville Barton;Chateau Leoville Barton Cru Classe 2014, 750 ml;"Леовиль Бартон 2014#nbsp;— одно из#nbsp;тех вин винтажа, которые необходимо купить. У#nbsp;него очень чистый и#nbsp;насыщенный букет ароматов ежевики и#nbsp;малинового джема, мокрого камня и#nbsp;минералов, которые становятся заметнее в#nbsp;ходе аэрации. Вино среднетельное с#nbsp;тягучими танинами, изящной кислотностью, придающей ему четкость и#nbsp;энергичность. Оно шикарное и#nbsp;изысканное, не#nbsp;самое мощное, но#nbsp;прекрасно сбалансированное. Блестящий предшественник Леовиль Бартона 2015. Должен превратиться в#nbsp;большую ценность в#nbsp;будущем. Можно пить с#nbsp;2020 по#nbsp;2050.<br /><strong><span style=""font-size: 14px;"" data-redactor-tag=""span""><em>Wine Advocate, 2017</em></span></strong>";https://static.tildacdn.com/tild3638-6466-4634-b161-633966353061/leoville-barton-2104.jpg;23270.00;2014;94;https://winetime.moscow/chateau-leoville-barton-2014
